Title,Link,Date,Source,Summary,Term,LanguageQueried
IMD warns of heat wave till June 14 for northwest | Latest News India - Hindustan Times - Hindustan Times,https://news.google.com/rss/articles/CBMisgFBVV95cUxPWHhRemc3MEZYOEczVVBuSmRQYjJZNXRpMVpjTWRCNndBQ0dlZ2F3SVpRZ01TVVNSVnZNZjMzYmgzcDgzYzJMOFMyVnJwRDNSNXZ2SHlqb0tEUTdpc056d2NzMEp3UDFDVTFmRHZLSWNvOWhtZ0FfMkFia2M3bjZGczJfYXdtcGZrSFJ0UmxQZ3BhUl9fSnhRRWs4WlA3b3VKOHlCdmpJakNqdFpzR2dTYjFR0gG3AUFVX3lxTE1PaEtaSUhWUThUNmltUFlvbUlwWTNDZEFxT0ZfeGc5VkE0MlhVU1pLMHJOVUNOTHBzQWV4a2xHaVBPTHdUd0t1b3dKazEzeHdRUldYMDF3OTVYQUk2Ui1JY2p0WHlacXN4RlNOdzFnZ1h2ZFU5VWg4UUhuYWdoTTVORVI3cElfS2d1MEwyTEdPeGZienZWbWpYcFJpUHdXa1JZNlB5dl85UTZNelVvM21GT3FiX2lHMA?oc=5,2025-06-13 05:31:25,Hindustan Times,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPWHhRemc3MEZYOEczVVBuSmRQYjJZNXRpMVpjTWRCNndBQ0dlZ2F3SVpRZ01TVVNSVnZNZjMzYmgzcDgzYzJMOFMyVnJwRDNSNXZ2SHlqb0tEUTdpc056d2NzMEp3UDFDVTFmRHZLSWNvOWhtZ0FfMkFia2M3bjZGczJfYXdtcGZrSFJ0UmxQZ3BhUl9fSnhRRWs4WlA3b3VKOHlCdmpJakNqdFpzR2dTYjFR0gG3AUFVX3lxTE1PaEtaSUhWUThUNmltUFlvbUlwWTNDZEFxT0ZfeGc5VkE0MlhVU1pLMHJOVUNOTHBzQWV4a2xHaVBPTHdUd0t1b3dKazEzeHdRUldYMDF3OTVYQUk2Ui1JY2p0WHlacXN4RlNOdzFnZ1h2ZFU5VWg4UUhuYWdoTTVORVI3cElfS2d1MEwyTEdPeGZienZWbWpYcFJpUHdXa1JZNlB5dl85UTZNelVvM21GT3FiX2lHMA?oc=5"" target=""_blank"">IMD warns of heat wave till June 14 for northwest | Latest News India - Hindustan Times</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hindustan Times</font>",Heatwave,en
"Scalded! City Hits 54.4C On Heat Index, Relief Delayed - Times of India",https://news.google.com/rss/articles/CBMiwwFBVV95cUxPdkFtV25sSEhReXVlV2R5cUJVNExRSnMxNXBSbmtIMVVCbEh6dHRXMkFDNmtud2tRa3B1UkhaVm9FS0VEZ3h1N28weUhqX25nUEVTNnVnQUlGaVVkemlDbndCWnFNTWZybXlSeUJzLW0xQ3VUT015VjVmc01hSXdBWXVBUkQxVk1xSzViWTRGMnUyTkYwbzM2TGpNb0dLZkpBWThiX3NWWGlFSzJDNnV4WHJXZkI1QklHZVA3TlJjUUl1UjDSAcgBQVVfeXFMT2FHNnF4RjFyRllkc0M4RXQyOUxsRzJTaS0xcGtuNndzV2pvUGVkazY0WTlIN0cxNmtYdVVaaHZxeGE0THVjQUpDR25ydktqWjY4TENlM0VMZHRTRldYaWg5emJtbzVIYjF5STh1TDJYRlBGQW1oZG1LOUlYMWo5Q2x0ZWFfNVl5TVpGZjR4TVJvNkMwMTZ1czhjOFhIWmRXSlJxS1E5bUNaZUF6a0oyUFJadDBSUkgtTUhEU2lmNFZPSDZ4V0Y1NDc?oc=5,2025-06-13 05:24:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMiwwFBVV95cUxPdkFtV25sSEhReXVlV2R5cUJVNExRSnMxNXBSbmtIMVVCbEh6dHRXMkFDNmtud2tRa3B1UkhaVm9FS0VEZ3h1N28weUhqX25nUEVTNnVnQUlGaVVkemlDbndCWnFNTWZybXlSeUJzLW0xQ3VUT015VjVmc01hSXdBWXVBUkQxVk1xSzViWTRGMnUyTkYwbzM2TGpNb0dLZkpBWThiX3NWWGlFSzJDNnV4WHJXZkI1QklHZVA3TlJjUUl1UjDSAcgBQVVfeXFMT2FHNnF4RjFyRllkc0M4RXQyOUxsRzJTaS0xcGtuNndzV2pvUGVkazY0WTlIN0cxNmtYdVVaaHZxeGE0THVjQUpDR25ydktqWjY4TENlM0VMZHRTRldYaWg5emJtbzVIYjF5STh1TDJYRlBGQW1oZG1LOUlYMWo5Q2x0ZWFfNVl5TVpGZjR4TVJvNkMwMTZ1czhjOFhIWmRXSlJxS1E5bUNaZUF6a0oyUFJadDBSUkgtTUhEU2lmNFZPSDZ4V0Y1NDc?oc=5"" target=""_blank"">Scalded! City Hits 54.4C On Heat Index, Relief Delayed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"IMD forecasts heatwave in Odisha, heavy rain in Arunachal - - NEWS ON AIR",https://news.google.com/rss/articles/CBMijwFBVV95cUxNQmxwN01RTUJpVkRoYlFLTkN5U0pGd0p6b0N1bjJsZWZDcHN2VEpJUm5KUGNKN2t6YVRoal9Kb3Z5RGxYZElhZ0ZsbVowS0RTSzlqSk9OeDF0TzgwQ1o0c0QtWXRCbzh6dWM0dTlrX2d1MmFnbmRhbGhZOVFicFpIQ3FYVXVfcnlTZU9wTVFrWQ?oc=5,2025-06-13 03:52:19,NEWS ON AIR,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxNQmxwN01RTUJpVkRoYlFLTkN5U0pGd0p6b0N1bjJsZWZDcHN2VEpJUm5KUGNKN2t6YVRoal9Kb3Z5RGxYZElhZ0ZsbVowS0RTSzlqSk9OeDF0TzgwQ1o0c0QtWXRCbzh6dWM0dTlrX2d1MmFnbmRhbGhZOVFicFpIQ3FYVXVfcnlTZU9wTVFrWQ?oc=5"" target=""_blank"">IMD forecasts heatwave in Odisha, heavy rain in Arunachal -</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NEWS ON AIR</font>",Heatwave,en
Assam: Hot & Humid Weather Persists in State - sentinelassam.com,https://news.google.com/rss/articles/CBMijAFBVV95cUxPVHE1dHFvSTUtR2F6ekVERkNRZ0VmbUFrVWMtcXplNjkxLV83YUhZMDdlbFFzWXpTaURNV2wwM2UyaTlyYmpmM1pxUU9kY1hiZ2ozTTd1WXg5QkZXU2otSmRLSlZzNkl1Ty1pcFRxbEdEbVZEeGJLbVhwWjNRSWN5ZWZvVWcwNDlOelRYT9IBmgFBVV95cUxOSFZyN2NBMjRsRUJuTzE5SmtTOGpSbmJuTlMxc2kzNHFRVmRla3NrakFmdFRoYVU1Z0lacU1OYlJvN0NSMlBUdlo5b0pST3hzYXlORTNMaHBULUdsMmpLakplckc5MDNNSnhXMzUyOFJLT19uWFd4ckxvbTJiYUgzdUFhbXlaal92SlJCcGozSEF6c1B3MnBlQzVB?oc=5,2025-06-13 08:03:36,sentinelassam.com,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxPVHE1dHFvSTUtR2F6ekVERkNRZ0VmbUFrVWMtcXplNjkxLV83YUhZMDdlbFFzWXpTaURNV2wwM2UyaTlyYmpmM1pxUU9kY1hiZ2ozTTd1WXg5QkZXU2otSmRLSlZzNkl1Ty1pcFRxbEdEbVZEeGJLbVhwWjNRSWN5ZWZvVWcwNDlOelRYT9IBmgFBVV95cUxOSFZyN2NBMjRsRUJuTzE5SmtTOGpSbmJuTlMxc2kzNHFRVmRla3NrakFmdFRoYVU1Z0lacU1OYlJvN0NSMlBUdlo5b0pST3hzYXlORTNMaHBULUdsMmpLakplckc5MDNNSnhXMzUyOFJLT19uWFd4ckxvbTJiYUgzdUFhbXlaal92SlJCcGozSEF6c1B3MnBlQzVB?oc=5"" target=""_blank"">Assam: Hot & Humid Weather Persists in State</a>&nbsp;&nbsp;<font color=""#6f6f6f"">sentinelassam.com</font>",Heatwave,en
"North India Heatwave 2025 LIVE: Punjab, Rajasthan Reel Under Extreme Heat; Red Alert Issued In Delhi As Temperatures Soar To 45°C - news24online.com",https://news.google.com/rss/articles/CBMi0AJBVV95cUxOMEE0QUhwMmpoSFA5WjhwUm1RNk5JSDE5dHhoZmcwNlRyX3U0cXdUN1hkUDRTNnNsVEJmb0c3Njhadl9HUFk0ZW4xR1ZqelJPVktEaW1NaTU0OUdmazhDamU0YzlFRXNKeEd1cmpKX1pPbWRTZFFQVV83QUdDckh2cWxQNFdrelZ6dFFnLXU3emNFWkFBVFRUby15N2RfRXNRalQweHhucXNfRERUajBraTlsV1JBVWQzaEVKd0dJNGhpWl9fNHlQbkNYMnpldmVRTHRXdTVhYjFHaVU0UTlNa012NFNFU1E4MlVIRExLQWV0ZVl5Ni1xTjJYQ19CcWd1ZkpJdnNsU0V3T1Vza3kwT24wVVFOQkZsSGd6YlBBYlF4eGttZ2NyZUFLUllsUm0zVlo5RjBLZEJzSDg1Q2pyU1AzeXA4b0NnV256Q1VzNkU?oc=5,2025-06-12 16:43:29,news24online.com,"<a href=""https://news.google.com/rss/articles/CBMi0AJBVV95cUxOMEE0QUhwMmpoSFA5WjhwUm1RNk5JSDE5dHhoZmcwNlRyX3U0cXdUN1hkUDRTNnNsVEJmb0c3Njhadl9HUFk0ZW4xR1ZqelJPVktEaW1NaTU0OUdmazhDamU0YzlFRXNKeEd1cmpKX1pPbWRTZFFQVV83QUdDckh2cWxQNFdrelZ6dFFnLXU3emNFWkFBVFRUby15N2RfRXNRalQweHhucXNfRERUajBraTlsV1JBVWQzaEVKd0dJNGhpWl9fNHlQbkNYMnpldmVRTHRXdTVhYjFHaVU0UTlNa012NFNFU1E4MlVIRExLQWV0ZVl5Ni1xTjJYQ19CcWd1ZkpJdnNsU0V3T1Vza3kwT24wVVFOQkZsSGd6YlBBYlF4eGttZ2NyZUFLUllsUm0zVlo5RjBLZEJzSDg1Q2pyU1AzeXA4b0NnV256Q1VzNkU?oc=5"" target=""_blank"">North India Heatwave 2025 LIVE: Punjab, Rajasthan Reel Under Extreme Heat; Red Alert Issued In Delhi As Temperatures Soar To 45°C</a>&nbsp;&nbsp;<font color=""#6f6f6f"">news24online.com</font>",Heatwave,en
IMD Sounds Heatwave Red Alert as Delhi ‘Feels Like’ 52 degrees Celsius - outlookbusiness.com,https://news.google.com/rss/articles/CBMisgFBVV95cUxPUE9keE9YNldSUXhJLW9ETmJPQlhOT2tURXlYSUg1bFlfZVFYUkpaY3pSb05iWHhKOTVpRF9pT25yYXpxLWE1Z0R1eXJtUHpVY0Fmell3RUN6YlNLdGo4UHJBVndqSFlzWU1xbGgtNGdrMVNfOUs0bC1CYVBvaUZXNzdhMmUtODNzbGllOFR6cnEwSWlPbzJVYUl3VDFJY3p1bm54QUNVTklnTWs0c1pIdGxn0gG_AUFVX3lxTE5ROGFmOS1jOVNMZTEtYlI3WWVYNUpWRWFid0lpc25BM05LbHlxM2hkQU9MNGRyYmtjcjg2WmJ0MzV2RlRJb3prWkJOQm9QS29aNXBoQ05ITThKdzFRdy1fMkV6TVVOWG5lVEZPTG5ZNXpOTlFrc3F6VlN0MnZ3cExZRHVWZHhIT2hxemt4WkNhLWJaY2tCSDlXZUMtVDAyRTczUzdJdDBuNTJNXzM2cEQyenpZcVRLaUxiYWZYd3lV?oc=5,2025-06-12 13:05:11,outlookbusiness.com,"<a href=""https://news.google.com/rss/articles/CBMisgFBVV95cUxPUE9keE9YNldSUXhJLW9ETmJPQlhOT2tURXlYSUg1bFlfZVFYUkpaY3pSb05iWHhKOTVpRF9pT25yYXpxLWE1Z0R1eXJtUHpVY0Fmell3RUN6YlNLdGo4UHJBVndqSFlzWU1xbGgtNGdrMVNfOUs0bC1CYVBvaUZXNzdhMmUtODNzbGllOFR6cnEwSWlPbzJVYUl3VDFJY3p1bm54QUNVTklnTWs0c1pIdGxn0gG_AUFVX3lxTE5ROGFmOS1jOVNMZTEtYlI3WWVYNUpWRWFid0lpc25BM05LbHlxM2hkQU9MNGRyYmtjcjg2WmJ0MzV2RlRJb3prWkJOQm9QS29aNXBoQ05ITThKdzFRdy1fMkV6TVVOWG5lVEZPTG5ZNXpOTlFrc3F6VlN0MnZ3cExZRHVWZHhIT2hxemt4WkNhLWJaY2tCSDlXZUMtVDAyRTczUzdJdDBuNTJNXzM2cEQyenpZcVRLaUxiYWZYd3lV?oc=5"" target=""_blank"">IMD Sounds Heatwave Red Alert as Delhi ‘Feels Like’ 52 degrees Celsius</a>&nbsp;&nbsp;<font color=""#6f6f6f"">outlookbusiness.com</font>",Heatwave,en
"Rapid urbanization, deforestation have intensified hot weather - Times of India",https://news.google.com/rss/articles/CBMi0gFBVV95cUxPMFRfZWNxSkZfRzNvLS1FS29xNkMxRkVFdUQ2bl9pTkFzWTZlaHZBbk9tZU8zWEo4R1Z3Tm9ZNDhMZFlrRG9XcVdrTVc4UXJHb1dFSTZYb0RlTS1NcW95WHhEXzdWd0xjcnNnT2VjYndWUUFHYXJNbkptR18tblE3ZHZFcWtQS2ZjOFBLMXByVkZsemZkalgzN2ZhREdHSXA3T05aYnN1QkFqOFFMSW04dUdRcC15d2Q0ZFAwQTlELTlkQkJ6Q0VNWlVPZ1VkaVRCY2fSAdcBQVVfeXFMTVIwWDlpLTRFNGdmc3NVbDB1UzNmcERZMnNlRkR5NVg3ak5reWJBV01pODhTU3Z3alM5ZHc3c0JqSlYxaWJsS3ZmbkxTdUVrQl9vMmp6RWhZMVZsaWNIcWZoN3QtNlZDNWt5aEtpZnAyMzFHSTdOcVJyMXZqWURBM05KcGJWYUVjdVFVdEd4bDFzNUtSNVpGUURZYnp2b2dySTJYSVoxRDBIRW9TUmZHNmxkR0xMX0EydHlCcEN4azYxS2hXaVdyQTRpTVQ2T1pLVGt2blF3UTQ?oc=5,2025-06-13 01:28:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi0gFBVV95cUxPMFRfZWNxSkZfRzNvLS1FS29xNkMxRkVFdUQ2bl9pTkFzWTZlaHZBbk9tZU8zWEo4R1Z3Tm9ZNDhMZFlrRG9XcVdrTVc4UXJHb1dFSTZYb0RlTS1NcW95WHhEXzdWd0xjcnNnT2VjYndWUUFHYXJNbkptR18tblE3ZHZFcWtQS2ZjOFBLMXByVkZsemZkalgzN2ZhREdHSXA3T05aYnN1QkFqOFFMSW04dUdRcC15d2Q0ZFAwQTlELTlkQkJ6Q0VNWlVPZ1VkaVRCY2fSAdcBQVVfeXFMTVIwWDlpLTRFNGdmc3NVbDB1UzNmcERZMnNlRkR5NVg3ak5reWJBV01pODhTU3Z3alM5ZHc3c0JqSlYxaWJsS3ZmbkxTdUVrQl9vMmp6RWhZMVZsaWNIcWZoN3QtNlZDNWt5aEtpZnAyMzFHSTdOcVJyMXZqWURBM05KcGJWYUVjdVFVdEd4bDFzNUtSNVpGUURZYnp2b2dySTJYSVoxRDBIRW9TUmZHNmxkR0xMX0EydHlCcEN4azYxS2hXaVdyQTRpTVQ2T1pLVGt2blF3UTQ?oc=5"" target=""_blank"">Rapid urbanization, deforestation have intensified hot weather</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
"Severe heatwave conditions till June 13, warns IMD as temperature soar to 45 degree in Delhi - MSN",https://news.google.com/rss/articles/CBMi1wFBVV95cUxQdXN0Zk11MW14X3EzQTBLQWFKX21jU1Z5MDFTa2dWLTNxT2ZCUHRlZFlXa2ZMVE91eU05VzZFOFNhTEVFWHdkeWRSU3RqcjdUVGdUelFjTU9Pek9RbFFzeHE5M0ZQcmlpbVBfYkpwbFdDOTd1cGpXejM1RVVVMzY1ZWJReEY3Z1ZkaHlac1dZcjhrU19IMVlmVnBQcWtDd1ZOT1ljd2RWQU9kbE1TZzRKRGJIaVphZndxR2xUSnRDODVpYmRWSFNTZXJTS0xKQ3dlOXpLMW9XTQ?oc=5,2025-06-12 23:26:35,MSN,"<a href=""https://news.google.com/rss/articles/CBMi1wFBVV95cUxQdXN0Zk11MW14X3EzQTBLQWFKX21jU1Z5MDFTa2dWLTNxT2ZCUHRlZFlXa2ZMVE91eU05VzZFOFNhTEVFWHdkeWRSU3RqcjdUVGdUelFjTU9Pek9RbFFzeHE5M0ZQcmlpbVBfYkpwbFdDOTd1cGpXejM1RVVVMzY1ZWJReEY3Z1ZkaHlac1dZcjhrU19IMVlmVnBQcWtDd1ZOT1ljd2RWQU9kbE1TZzRKRGJIaVphZndxR2xUSnRDODVpYmRWSFNTZXJTS0xKQ3dlOXpLMW9XTQ?oc=5"" target=""_blank"">Severe heatwave conditions till June 13, warns IMD as temperature soar to 45 degree in Delhi</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MSN</font>",Heatwave,en
Delhi Weather Update: IMD Issues Monsoon Forecast as Intense Heatwave Grips NCR - Republic World,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPUzlQVzNZbG4tZDVua0VuLXVGWm8yUHNCYnNQanNJZWJTUzJqcC14QUVqUlo2elQzaG85UUVSVV9PcER3S1UtRHcxdlVlbW54ZGowS0pMMEJEejVZLVkzRTQ1ZVJ5VDlrUm1oYTk5MmtLU2pVOVVpYlVJakdiQVVuaXFnSUZkbmlacFNTdTlnVzhrLXRucV83UlI1blhWVDZKWjNlS2NVY3NsSXpuTzNrdmFtYnRjV0p0ekw5d1l2R2NSaFktcGtuTGlZWDhqYlYwYWJRWUs0T19tdTlkYTZrclYySQ?oc=5,2025-06-12 11:02:22,Republic World,"<a href=""https://news.google.com/rss/articles/CBMi4wFBVV95cUxPUzlQVzNZbG4tZDVua0VuLXVGWm8yUHNCYnNQanNJZWJTUzJqcC14QUVqUlo2elQzaG85UUVSVV9PcER3S1UtRHcxdlVlbW54ZGowS0pMMEJEejVZLVkzRTQ1ZVJ5VDlrUm1oYTk5MmtLU2pVOVVpYlVJakdiQVVuaXFnSUZkbmlacFNTdTlnVzhrLXRucV83UlI1blhWVDZKWjNlS2NVY3NsSXpuTzNrdmFtYnRjV0p0ekw5d1l2R2NSaFktcGtuTGlZWDhqYlYwYWJRWUs0T19tdTlkYTZrclYySQ?oc=5"" target=""_blank"">Delhi Weather Update: IMD Issues Monsoon Forecast as Intense Heatwave Grips NCR</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Republic World</font>",Heatwave,en
Heatwave respite hope as NE braces for second spell of rain - Times of India,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOTlh2aFBWYXJOcnB4VmNtZTNBQW9sTlp4S3NGaS0yOXRzLTBjX25IbDZKS3NURjZINU9idjhIdi1TRDc1S3pDa1p2NHZfTU90YlBUVHRVTG9jTXpuRzZhLTU5dE92UGVzSEZsTFYtQkxSTE4yak5Zb0ktLXYxUFlwdkNDNFJzeWtJQzBiaVhEeWIteXUzLXBPSlNJQnFLR3hxb09YRGc2TW5NLWF2RnpGNWNRbEhPdW1nNkJQQnM3bEpzV1BOQW5HRjhnSjN1ZURP0gHWAUFVX3lxTFBxQmhhRUR4RGQ5RkdmcTlWb0d2UGtFRTZpLUpibjFYVXZzdlRiSC03NUxseF96eVNiM1VvZktseDJvckFuVWRTTnJ0Yno1VkE5Y2tRYW1PNDFsaE5FcFBRZmNoTm1lcmVRMTdGVDhNMy0xVUItR1BSeDVIdUN4QXZiYlFpcUt3dnhkSWFnR0pxRlZFMVk5M0t6WVlOMWNxN3NQVENRRFlJeUZMQzRmU3dNQVFsMHlPeURtcGVrX2hxX1hQZng3Vjd4REhqcl85Umx1LWFkVVE?oc=5,2025-06-13 03:38:00,Times of India,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOTlh2aFBWYXJOcnB4VmNtZTNBQW9sTlp4S3NGaS0yOXRzLTBjX25IbDZKS3NURjZINU9idjhIdi1TRDc1S3pDa1p2NHZfTU90YlBUVHRVTG9jTXpuRzZhLTU5dE92UGVzSEZsTFYtQkxSTE4yak5Zb0ktLXYxUFlwdkNDNFJzeWtJQzBiaVhEeWIteXUzLXBPSlNJQnFLR3hxb09YRGc2TW5NLWF2RnpGNWNRbEhPdW1nNkJQQnM3bEpzV1BOQW5HRjhnSjN1ZURP0gHWAUFVX3lxTFBxQmhhRUR4RGQ5RkdmcTlWb0d2UGtFRTZpLUpibjFYVXZzdlRiSC03NUxseF96eVNiM1VvZktseDJvckFuVWRTTnJ0Yno1VkE5Y2tRYW1PNDFsaE5FcFBRZmNoTm1lcmVRMTdGVDhNMy0xVUItR1BSeDVIdUN4QXZiYlFpcUt3dnhkSWFnR0pxRlZFMVk5M0t6WVlOMWNxN3NQVENRRFlJeUZMQzRmU3dNQVFsMHlPeURtcGVrX2hxX1hQZng3Vjd4REhqcl85Umx1LWFkVVE?oc=5"" target=""_blank"">Heatwave respite hope as NE braces for second spell of rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font>",Heatwave,en
